 Init noise sample_rate tau1_init tau2_init sigma_init acc acc1 acc2 acc3
160 161 different 64 0.521589457988739 0.8917280435562134 0.147044837474823 0.20246152579784393 0.2437300980091095 0.15017913281917572 0.2134753167629242
161 162 same 256 0.7639933824539185 0.7340381145477295 0.30881136655807495 0.17031581699848175 0.16381369531154633 0.17346735298633575 0.17366640269756317
162 163 different 128 0.7460460662841797 0.3008107542991638 0.5957810282707214 0.13140259683132172 0.1031050980091095 0.12539808452129364 0.1657046228647232
163 164 different 64 0.5049811601638794 0.7870233654975891 0.23113971948623657 0.22239916026592255 0.2239251583814621 0.21626193821430206 0.2270103543996811
164 165 different 16 0.18690019845962524 0.12429434061050415 0.4581689238548279 0.4957869052886963 0.5051751732826233 0.47452229261398315 0.5076631903648376
165 166 same 512 0.653262734413147 0.8141437768936157 0.7335509657859802 0.1738986223936081 0.16391322016716003 0.15027865767478943 0.20750397443771362
166 167 same 256 0.19388318061828613 0.6662893295288086 0.4129076600074768 0.16699840128421783 0.1980493664741516 0.0990246832370758 0.20392118394374847
167 168 same 32 0.013934493064880371 0.8906545042991638 0.057476580142974854 0.6953954100608826 0.6958598494529724 0.6997412443161011 0.690585196018219
168 169 different 64 0.12883710861206055 0.8315215706825256 0.20773988962173462 0.3051353394985199 0.27746814489364624 0.3060310482978821 0.33190685510635376
169 170 different 512 0.4181906580924988 0.029427707195281982 0.023144006729125977 0.3010549545288086 0.22939889132976532 0.34852707386016846 0.3252388536930084
170 171 different 256 0.2440395951271057 0.7263950705528259 0.958177924156189 0.11687234789133072 0.13037420809268951 0.09942276775836945 0.1208200603723526
171 172 same 32 0.3511010408401489 0.16791582107543945 0.14533531665802002 0.2925291955471039 0.303244411945343 0.25169187784194946 0.3226512670516968
172 173 different 32 0.8760320544242859 0.7148138284683228 0.22249597311019897 0.1969877928495407 0.206210196018219 0.21646098792552948 0.16829219460487366
173 174 different 256 0.9871558547019958 0.3896055221557617 0.5642196536064148 0.11309049278497696 0.11285828053951263 0.12171576172113419 0.10469745099544525
174 175 same 64 0.583805501461029 0.6847477555274963 0.8684041500091553 0.1666003167629242 0.13982881605625153 0.15326432883739471 0.20670780539512634
175 176 same 64 0.9025103449821472 0.5488967895507812 0.4074586033821106 0.18982219696044922 0.2186504751443863 0.1594347059726715 0.19138136506080627
176 177 same 128 0.5087220668792725 0.5395487546920776 0.4259372353553772 0.16729696094989777 0.14868630468845367 0.16640126705169678 0.18680334091186523
177 178 same 64 0.9958251714706421 0.9682467579841614 0.8947087526321411 0.1480228304862976 0.0989251583814621 0.1355493664741516 0.20959395170211792
178 179 different 32 0.3808460235595703 0.5148131251335144 0.23991674184799194 0.243829607963562 0.284335196018219 0.20053741335868835 0.24661624431610107
179 180 same 64 0.9498924612998962 0.5938587188720703 0.2465720772743225 0.18298833072185516 0.12201432883739471 0.2249203771352768 0.2020302563905716
